r1,r2,ang,level,atom_index,atom,mux,muy,muz
1.0,1.184,123.158,hf,2,O,0.0,0.26785921,0.0489521
1.0,1.184,123.158,mp2,0,C,0.0,-0.03234174,-0.01520274
1.0,1.184,123.158,mp2,1,O,0.0,0.15490909,0.18473733
1.0,1.184,123.158,mp2,2,O,0.0,0.26785921,0.0489521
1.0,1.211,123.158,hf,0,C,0.0,-0.03222798,-0.01219192
1.0,1.211,123.158,hf,1,O,0.0,0.14780508,0.18549255
1.0,1.211,123.158,hf,2,O,0.0,0.26943197,0.04345328
1.0,1.211,123.158,mp2,0,C,0.0,-0.03222798,-0.01219192
1.0,1.211,123.158,mp2,1,O,0.0,0.14780508,0.18549255
1.0,1.211,123.158,mp2,2,O,0.0,0.26943197,0.04345328
1.0,1.237,123.158,hf,0,C,-0.0,-0.03205401,-0.00860701
1.0,1.237,123.158,hf,1,O,0.0,0.14099184,0.18574562
1.0,1.237,123.158,hf,2,O,-0.0,0.27061818,0.03799905
1.0,1.237,123.158,mp2,0,C,-0.0,-0.03205401,-0.00860701
1.0,1.237,123.158,mp2,1,O,0.0,0.14099184,0.18574562
1.0,1.237,123.158,mp2,2,O,-0.0,0.27061818,0.03799905
1.0,1.263,123.158,hf,0,C,0.0,-0.03178103,-0.00433524
1.0,1.263,123.158,hf,1,O,0.0,0.13422498,0.18554708
1.0,1.263,123.158,hf,2,O,-0.0,0.27145467,0.03243484
1.0,1.263,123.158,mp2,0,C,0.0,-0.03178103,-0.00433524
1.0,1.263,123.158,mp2,1,O,0.0,0.13422498,0.18554708
1.0,1.263,123.158,mp2,2,O,-0.0,0.27145467,0.03243484
1.0,1.289,123.158,hf,0,C,0.0,-0.03137708,0.00062349
1.0,1.289,123.158,hf,1,O,0.0,0.12752464,0.18491289
1.0,1.289,123.158,hf,2,O,0.0,0.27191203,0.0268055
1.0,1.289,123.158,mp2,0,C,0.0,-0.03137708,0.00062349
1.0,1.289,123.158,mp2,1,O,0.0,0.12752464,0.18491289
1.0,1.289,123.158,mp2,2,O,0.0,0.27191203,0.0268055
1.0,1.316,123.158,hf,0,C,0.0,-0.03083632,0.0064583
1.0,1.316,123.158,hf,1,O,0.0,0.12064551,0.18375916
1.0,1.316,123.158,hf,2,O,-0.0,0.27189841,0.02096022
1.0,1.316,123.158,mp2,0,C,0.0,-0.03083632,0.0064583
1.0,1.316,123.158,mp2,1,O,0.0,0.12064551,0.18375916
1.0,1.316,123.158,mp2,2,O,-0.0,0.27189841,0.02096022
1.0,1.342,123.158,hf,0,C,-0.0,-0.03017545,0.01271322
1.0,1.342,123.158,hf,1,O,-0.0,0.11412353,0.18220667
1.0,1.342,123.158,hf,2,O,-0.0,0.27140609,0.015373
1.0,1.342,123.158,mp2,0,C,-0.0,-0.03017545,0.01271322
1.0,1.342,123.158,mp2,1,O,-0.0,0.11412353,0.18220667
1.0,1.342,123.158,mp2,2,O,-0.0,0.27140609,0.015373
1.0,1.368,123.158,hf,0,C,-0.0,-0.02936062,0.01955949
1.0,1.368,123.158,hf,1,O,-0.0,0.10772854,0.18026116
1.0,1.368,123.158,hf,2,O,-0.0,0.27044722,0.00986555
1.0,1.368,123.158,mp2,0,C,-0.0,-0.02936062,0.01955949
1.0,1.368,123.158,mp2,1,O,-0.0,0.10772854,0.18026116
1.0,1.368,123.158,mp2,2,O,-0.0,0.27044722,0.00986555
1.0,1.395,123.158,hf,0,C,-0.0,-0.0284027,0.02721238
1.0,1.395,123.158,hf,1,O,-0.0,0.10123521,0.17781226
1.0,1.395,123.158,hf,2,O,-0.0,0.26890365,0.00429485
1.0,1.395,123.158,mp2,0,C,-0.0,-0.0284027,0.02721238
1.0,1.395,123.158,mp2,1,O,-0.0,0.10123521,0.17781226
1.0,1.395,123.158,mp2,2,O,-0.0,0.26890365,0.00429485
1.0,1.421,123.158,hf,0,C,0.0,-0.02737215,0.03505289
1.0,1.421,123.158,hf,1,O,0.0,0.09515434,0.17510033
1.0,1.421,123.158,hf,2,O,0.0,0.26692242,-0.00089298
1.0,1.421,123.158,mp2,0,C,0.0,-0.02737215,0.03505289
1.0,1.421,123.158,mp2,1,O,0.0,0.09515434,0.17510033
1.0,1.421,123.158,mp2,2,O,0.0,0.26692242,-0.00089298
1.0,1.447,123.158,hf,0,C,0.0,-0.02626168,0.04328635
1.0,1.447,123.158,hf,1,O,-0.0,0.08926442,0.17208226
1.0,1.447,123.158,hf,2,O,-0.0,0.26447294,-0.00586811
1.0,1.447,123.158,mp2,0,C,0.0,-0.02626168,0.04328635
1.0,1.447,123.158,mp2,1,O,-0.0,0.08926442,0.17208226
1.0,1.447,123.158,mp2,2,O,-0.0,0.26447294,-0.00586811
1.0,1.474,123.158,hf,0,C,-0.0,-0.02505592,0.05217696
1.0,1.474,123.158,hf,1,O,0.0,0.08337128,0.16867125
1.0,1.474,123.158,hf,2,O,-0.0,0.26146063,-0.01077053
1.0,1.474,123.158,mp2,0,C,-0.0,-0.02505592,0.05217696
1.0,1.474,123.158,mp2,1,O,0.0,0.08337128,0.16867125
1.0,1.474,123.158,mp2,2,O,-0.0,0.26146063,-0.01077053
1.0,1.5,123.158,hf,0,C,0.0,-0.02385454,0.06100808
1.0,1.5,123.158,hf,1,O,0.0,0.07793292,0.16518614
1.0,1.5,123.158,hf,2,O,-0.0,0.25816295,-0.0152119
1.0,1.5,123.158,mp2,0,C,0.0,-0.02385454,0.06100808
1.0,1.5,123.158,mp2,1,O,0.0,0.07793292,0.16518614
1.0,1.5,123.158,mp2,2,O,-0.0,0.25816295,-0.0152119
1.0,1.0,126.316,hf,0,C,-0.0,-0.03012838,-0.01524654
1.0,1.0,126.316,hf,1,O,-0.0,0.1898083,0.17246329
1.0,1.0,126.316,hf,2,O,-0.0,0.2513761,0.05080306
1.0,1.0,126.316,mp2,0,C,-0.0,-0.03012838,-0.01524654
1.0,1.0,126.316,mp2,1,O,-0.0,0.1898083,0.17246329
1.0,1.0,126.316,mp2,2,O,-0.0,0.2513761,0.05080306
1.021,1.0,126.316,hf,0,C,0.0,-0.03096008,-0.01461082
1.021,1.0,126.316,hf,1,O,0.0,0.18922376,0.17603444
1.021,1.0,126.316,hf,2,O,0.0,0.25050945,0.04523081
1.021,1.0,126.316,mp2,0,C,0.0,-0.03096008,-0.01461082
1.021,1.0,126.316,mp2,1,O,0.0,0.18922376,0.17603444
1.021,1.0,126.316,mp2,2,O,0.0,0.25050945,0.04523081
1.0,1.026,126.316,hf,0,C,0.0,-0.03010726,-0.01649957
1.0,1.026,126.316,hf,1,O,0.0,0.18360736,0.17565799
1.0,1.026,126.316,hf,2,O,-0.0,0.25449352,0.04756574
1.0,1.026,126.316,mp2,0,C,0.0,-0.03010726,-0.01649957
1.0,1.026,126.316,mp2,1,O,0.0,0.18360736,0.17565799
1.0,1.026,126.316,mp2,2,O,-0.0,0.25449352,0.04756574
1.021,1.026,126.316,hf,0,C,0.0,-0.03103694,-0.01591371
1.021,1.026,126.316,hf,1,O,0.0,0.18333594,0.17911629
1.021,1.026,126.316,hf,2,O,-0.0,0.25372046,0.04231701
1.021,1.026,126.316,mp2,0,C,0.0,-0.03103694,-0.01591371
1.021,1.026,126.316,mp2,1,O,0.0,0.18333594,0.17911629
1.021,1.026,126.316,mp2,2,O,-0.0,0.25372046,0.04231701
1.0,1.053,126.316,hf,0,C,-0.0,-0.03010648,-0.01730847
1.0,1.053,126.316,hf,1,O,-0.0,0.17710522,0.17869809
1.0,1.053,126.316,hf,2,O,0.0,0.25757051,0.04381052
1.0,1.053,126.316,mp2,0,C,-0.0,-0.03010648,-0.01730847
1.0,1.053,126.316,mp2,1,O,-0.0,0.17710522,0.17869809
1.0,1.053,126.316,mp2,2,O,0.0,0.25757051,0.04381052
1.021,1.053,126.316,hf,0,C,0.0,-0.03115973,-0.01678885
1.021,1.053,126.316,hf,1,O,-0.0,0.17712334,0.18202002
1.021,1.053,126.316,hf,2,O,-0.0,0.25684956,0.03892647
1.021,1.053,126.316,mp2,0,C,0.0,-0.03115973,-0.01678885
1.021,1.053,126.316,mp2,1,O,-0.0,0.17712334,0.18202002
1.021,1.053,126.316,mp2,2,O,-0.0,0.25684956,0.03892647
1.0,1.079,126.316,hf,0,C,0.0,-0.03012374,-0.01758669
1.0,1.079,126.316,hf,1,O,-0.0,0.17080196,0.18131499
1.0,1.079,126.316,hf,2,O,-0.0,0.2603667,0.03984624
1.0,1.079,126.316,mp2,0,C,0.0,-0.03012374,-0.01758669
1.0,1.079,126.316,mp2,1,O,-0.0,0.17080196,0.18131499
1.0,1.079,126.316,mp2,2,O,-0.0,0.2603667,0.03984624
1.021,1.079,126.316,hf,0,C,-0.0,-0.03128553,-0.01712692
1.021,1.079,126.316,hf,1,O,-0.0,0.17107767,0.18454599
1.021,1.079,126.316,hf,2,O,0.0,0.25971018,0.03531217
1.021,1.079,126.316,mp2,0,C,-0.0,-0.03128553,-0.01712692
1.021,1.079,126.316,mp2,1,O,-0.0,0.17107767,0.18454599
1.021,1.079,126.316,mp2,2,O,0.0,0.25971018,0.03531217
1.0,1.105,126.316,hf,0,C,-0.0,-0.0301633,-0.01734819
1.0,1.105,126.316,hf,1,O,0.0,0.16446432,0.18357086
1.0,1.105,126.316,hf,2,O,-0.0,0.26296981,0.03558647
1.0,1.105,126.316,mp2,0,C,-0.0,-0.0301633,-0.01734819
1.0,1.105,126.316,mp2,1,O,0.0,0.16446432,0.18357086
1.0,1.105,126.316,mp2,2,O,-0.0,0.26296981,0.03558647
1.021,1.105,126.316,hf,0,C,0.0,-0.03142919,-0.01694478
1.021,1.105,126.316,hf,1,O,0.0,0.16497618,0.18674102
1.021,1.105,126.316,hf,2,O,-0.0,0.26238686,0.03140229
1.021,1.105,126.316,mp2,0,C,0.0,-0.03142919,-0.01694478
1.021,1.105,126.316,mp2,1,O,0.0,0.16497618,0.18674102
1.021,1.105,126.316,mp2,2,O,-0.0,0.26238686,0.03140229
1.0,1.132,126.316,hf,0,C,0.0,-0.03018567,-0.01652498
1.0,1.132,126.316,hf,1,O,-0.0,0.1578784,0.1855435
1.0,1.132,126.316,hf,2,O,0.0,0.26547646,0.03086403
1.0,1.132,126.316,mp2,0,C,0.0,-0.03018567,-0.01652498
1.0,1.132,126.316,mp2,1,O,-0.0,0.1578784,0.1855435
